artist,song,lyricId,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms
Tracy Byrd,Ten Rounds With Jose Cuervo,18886,0.681,0.864,2,-7.839,1,0.0347,0.00504,0.0,0.212,0.931,127.079,spotify:track:26J61MmE6YCWqIyROZdEgL,182453
Hoobastank,Running Away,18887,0.608,0.801,9,-5.452,0,0.0376,0.0011,8.11e-06,0.223,0.544,100.25,spotify:track:658FEXDknBDQDPBNN9Mhy6,178440
Lil Wayne,Way Of Life,18889,0.877,0.784,9,-4.146,0,0.298,0.0247,0.0,0.0792,0.686,97.89,spotify:track:2ZoKMVQaFYnOsKeHbzSqLy,239800
Elvis Presley vs JXL,A Little Less Conversation,18890,0.597,0.97,4,-5.972,0,0.0502,0.000385,0.205,0.133,0.717,114.999,spotify:track:4rr0gWiMrF4sOIefs3IEvZ,211507
Kelly Osbourne,Papa Don't Preach,18893,0.451,0.898,5,-2.801,0,0.0346,1.52e-05,0.0375,0.112,0.682,143.744,spotify:track:0Q0oeUZbccTCGs0y9CTY9w,205253
Sara Evans,I Keep Looking,18896,0.737,0.817,10,-4.246,1,0.0508,0.0577,0.0,0.118,0.751,112.866,spotify:track:6IqofHRLYynJ6lCypGrVpF,276173
Styles,Good Times,18897,0.697,0.761,11,-7.647,0,0.302,0.157,0.0,0.789,0.666,81.728,spotify:track:7cFpB4ozcSwXuhqjvNbrbP,211493
Papa Roach,She Loves Me Not,18898,0.598,0.955,2,-4.52,1,0.0916,0.00122,0.0,0.243,0.402,119.126,spotify:track:1eRgyfyizDWISeS99kwLNC,209573
Trace Adkins,Help Me Understand,18899,0.502,0.435,7,-9.161,1,0.0279,0.658,7.87e-05,0.0877,0.291,129.933,spotify:track:1eqw9X3NsJeBcr7eExLIAA,231507
The Hives,Hate To Say I Told You So,18900,0.451,0.929,5,-5.021,1,0.0549,0.00109,0.00785,0.442,0.378,135.767,spotify:track:6xxXrNJnnsQNLdgNk8S4y8,199760
Ashanti,Baby,18903,0.71,0.797,4,-3.006,0,0.0582,0.408,0.0,0.16,0.849,94.998,spotify:track:6pWzCKTrKrwbUPzY8RLCoP,209120
Daniel Bedingfield,Gotta Get Thru This,18904,0.837,0.765,7,-5.007,0,0.0631,0.0852,7.08e-05,0.1,0.912,133.57,spotify:track:747tpec1a0Hfqvj2za1pBs,161200
Filter,Where Do We Go From Here,18905,0.501,0.785,7,-6.205,1,0.0329,0.000273,0.0128,0.36,0.21,94.109,spotify:track:4T1Dz6BRAxk1BnSXxsbxGA,334933
Bruce Springsteen,The Rising,18906,0.499,0.761,10,-6.381,1,0.0324,0.0655,0.0,0.0895,0.326,110.186,spotify:track:2czBvzOv3TvnyoW7Ozo7fP,287040
Eminem,Cleanin' Out My Closet,18907,0.908,0.758,9,-4.753,0,0.174,0.0687,0.0,0.0783,0.87,148.015,spotify:track:7BMO7O7ImjV8HNTH74Tshv,297840
Beenie Man Featuring Janet,Feel It Boy,18908,0.842,0.656,5,-3.189,0,0.107,0.16,0.0,0.0626,0.95,102.794,spotify:track:6KUI3A3jmZ0cGLDzOT41lX,207133
Ginuwine,Stingy,18909,0.622,0.573,1,-6.934,0,0.0547,0.26,0.0,0.173,0.617,127.132,spotify:track:6De63WRULDaa1fxOyLilnv,259493
Jack Johnson,Flake,18910,0.758,0.654,5,-10.98,1,0.04,0.662,0.0197,0.199,0.962,97.657,spotify:track:7hOXiS6kDP4vYIh9DBsNgK,281749
Jimmy Eat World,Sweetness,18911,0.487,0.898,5,-4.436,1,0.038,0.00305,0.0,0.26,0.597,135.331,spotify:track:429IbFR4yp2J81CeTwF5iY,220027
Monica,All Eyez On Me,18912,0.758,0.739,7,-4.429,1,0.0405,0.0281,0.000146,0.0439,0.848,108.995,spotify:track:0rHehT9M8peRzeV1O1FeOk,238773
Mark Chesnutt,She Was,18913,0.398,0.54,3,-9.31,1,0.0276,0.0118,0.0,0.0684,0.447,177.168,spotify:track:3EhEA0wiWPhqfjbaSHIxan,201173
Diamond Rio,Beautiful Mess,18914,0.402,0.817,1,-3.756,1,0.0406,0.317,0.0,0.105,0.376,177.342,spotify:track:7LvK43IERbcLsuabmyKQgi,227920
System Of A Down,Aerials,18917,0.364,0.922,0,-4.217,0,0.0567,0.000915,0.0346,0.0697,0.227,79.342,spotify:track:4e9eGQYsOiBcftrWXwsVco,235053
BBMak,Out Of My Heart (Into Your Head),18918,0.533,0.909,10,-3.922,1,0.0351,0.00523,5.49e-06,0.337,0.545,123.425,spotify:track:3i18dmoH6qfcfFG7ctRlFL,243787
Keith Urban,Somebody Like You,18920,0.624,0.84,4,-5.768,1,0.0337,0.108,0.000546,0.144,0.656,111.02,spotify:track:0b9djfiuDIMw1zKH6gV74g,323040
Aaliyah,I Care 4 U,18922,0.425,0.423,0,-9.237,0,0.0526,0.799,0.000359,0.132,0.21,121.606,spotify:track:6QqE5VGsEHeVsOI9HzGqqn,273520
Vanessa Carlton,Ordinary Day,18923,0.371,0.666,0,-3.336,1,0.0301,0.244,0.0,0.151,0.449,185.476,spotify:track:6kcEeXcDca8oe9dlvYeGmI,238440
Our Lady Peace,Somewhere Out There,18924,0.388,0.746,1,-5.306,1,0.0318,0.000563,0.0,0.0719,0.458,159.675,spotify:track:6fQJg7MdQssgZJDhTJtFtd,251333
Alan Jackson,Work In Progress,18925,0.748,0.673,11,-8.45,0,0.0486,0.191,5.86e-06,0.212,0.661,135.257,spotify:track:1CSdY0W7Ezx2loItcUFskp,247600
Phil Vassar,American Child,18926,0.397,0.685,2,-5.815,1,0.0277,0.252,0.0,0.165,0.443,168.121,spotify:track:2AjKbfwdv1K0SkN4YmBhsO,189057
LL Cool J,Luv U Better,18927,0.668,0.806,6,-3.9,1,0.239,0.232,0.0,0.18,0.721,95.022,spotify:track:0HJYzGavqzjiKMmm4F0UZv,287000
Whitney Houston,Whatchulookinat,18928,0.676,0.878,11,-3.66,0,0.148,0.0587,0.0,0.509,0.533,105.014,spotify:track:7Kt3rCH3VPNDDJq3iq7v16,213440
Michelle Branch,Goodbye To You,18931,0.504,0.556,8,-6.19,1,0.0263,0.288,0.000246,0.173,0.276,81.008,spotify:track:6NSJOIyKYcRZh28Kf0URTw,251200
Faith Hill,Cry,18932,0.512,0.645,8,-5.631,1,0.029,0.141,0.0,0.0987,0.283,111.015,spotify:track:6mJMvtuCMZt4XXNs5zw1zx,226307
Justin Timberlake,Like I Love You,18934,0.853,0.811,6,-4.927,0,0.0646,0.0439,0.000307,0.0703,0.9,114.964,spotify:track:6W2Ef5Ph6ILTUAedoQ3QIv,283627
Shakira,Objection (Tango),18935,0.602,0.864,11,-5.282,0,0.0661,0.0149,0.0,0.0246,0.71,179.391,spotify:track:36YNa8joLwu9yor2TkZbIY,222533
Goo Goo Dolls,Big Machine,18936,0.42,0.895,3,-4.155,1,0.0614,0.00103,0.000207,0.356,0.577,108.832,spotify:track:4u0mNH2fqIoeeyGff3NLrx,189547
Musiq,dontchange,18937,0.58,0.526,6,-6.664,0,0.0313,0.221,0.0,0.0959,0.2,101.89,spotify:track:3DkaXDmC0qaFNAxgLMuwX4,304427
Martina McBride,Where Would You Be,18938,0.523,0.668,8,-6.646,1,0.0332,0.0607,3.23e-06,0.0353,0.278,128.092,spotify:track:66URCmir4NPApvXokhTZYO,272720
New Found Glory,My Friends Over You,18940,0.404,0.98,2,-4.038,1,0.107,0.000193,0.0,0.0742,0.433,177.793,spotify:track:4pImG3RdbaGfanzQOTFgyr,220200
Avril Lavigne,Sk8er Boi,18941,0.487,0.9,0,-4.417,1,0.0482,6.79e-05,0.0,0.358,0.484,149.937,spotify:track:00Mb3DuaIH1kjrwOku9CGU,204000
Clipse,When The Last Time,18943,0.847,0.884,11,-3.326,1,0.245,0.514,0.0,0.303,0.845,99.036,spotify:track:0EXm0iaB0CzqtsB3VaupXj,254307
Sheryl Crow,Steve McQueen,18945,0.555,0.893,0,-3.521,1,0.0952,0.0505,0.0,0.0688,0.762,169.966,spotify:track:3AvMXM7A4zMHNbjRI2zGan,205733
Donell Jones,Put Me Down,18946,0.792,0.648,1,-6.827,0,0.0469,0.0702,0.00531,0.0693,0.76,101.406,spotify:track:3UnjHOCGgfHDAjzMEOyBqQ,260267
