date,rank,artist,song,lyricId
1982-01-30,5,Quarterflash,Harden My Heart,11725
1982-01-30,6,Stevie Nicks With Don Henley,Leather And Lace,-1
1982-01-30,7,George Benson,Turn Your Love Around,11733
1982-01-30,8,"Earth, Wind & Fire",Let's Groove,11706
1982-01-30,9,Juice Newton,The Sweetest Thing (I've Ever Known),11724
1982-01-30,10,Royal Philharmonic Orchestra,Hooked On Classics,-1
1982-01-30,11,Barbra Streisand,Comin' In And Out Of Your Life,11756
1982-01-30,12,Paul Davis,Cool Night,11751
1982-01-30,13,The Cars,Shake It Up,11762
1982-01-30,14,The Rolling Stones,Waiting On A Friend,11776
1982-01-30,15,Eddie Rabbitt,Someone Could Lose A Heart Tonight,11757
1982-01-30,16,Dan Fogelberg,Leader Of The Band,11771
1982-01-30,17,Little River Band,Take It Easy On Me,11778
1982-01-30,18,The Beach Boys,Come Go With Me,11768
1982-01-30,19,Air Supply,Sweet Dreams,11784
1982-01-30,20,Sheena Easton,You Could Have Been With Me,11770
1982-01-30,21,Journey,Open Arms,11808
1982-01-30,22,Lindsey Buckingham,Trouble,11729
1982-01-30,23,Billy Joel,She's Got A Way,11763
1982-01-30,24,Rick Springfield,Love Is Alright Tonite,11779
1982-01-30,25,Kenny Rogers,Through The Years,11799
1982-01-30,26,Rod Stewart,Young Turks,11721
1982-01-30,27,Ronnie Milsap,I Wouldn't Have Missed It For The World,11732
1982-01-30,28,Neil Diamond,Yesterday's Songs,11747
1982-01-30,29,Diana Ross,"Mirror, Mirror",11804
1982-01-30,30,Alabama,Love In The First Degree,11760
1982-01-30,31,Bertie Higgins,Key Largo,11759
1982-01-30,32,Barry Manilow,Somewhere Down The Road,11791
1982-01-30,33,Loverboy,Working For The Weekend,11758
1982-01-30,34,Eddie Schwartz,All Our Tomorrows,11785
1982-01-30,35,Del Shannon,Sea Of Love,11786
1982-01-30,36,Genesis,Abacab,11797
1982-01-30,37,Stevie Wonder,That Girl,11809
1982-01-30,38,Buckner & Garcia,Pac-Man Fever,11803
1982-01-30,39,The Police,Spirits In The Material World,11810
1982-01-30,40,Journey,Don't Stop Believin',11737
1982-01-30,41,Queen & David Bowie,Under Pressure,11750
1982-01-30,42,Diana Ross,Why Do Fools Fall In Love,11720
1982-01-30,43,Al Jarreau,Breakin' Away,11777
1982-01-30,44,Go-Go's,Our Lips Are Sealed,11674
1982-01-30,45,Kool & The Gang,Take My Heart (You Can Have It If You Want It),11722
1982-01-30,46,Donnie Iris,Love Is Like A Rock,11795
1982-01-30,47,Jennifer Warnes,Could It Be Love,11781
1982-01-30,48,Bob Seger & The Silver Bullet Band,Feel Like A Number,11792
1982-01-30,49,ABBA,When All Is Said And Done,11807
1982-01-30,50,Henry Paul Band,Keeping Our Love Alive,11787
1982-01-30,51,The John Hall Band,Crazy (Keep On Falling),11800
1982-01-30,52,Quincy Jones Featuring James Ingram,One Hundred Ways,11794
1982-01-30,53,Cliff Richard,Daddy's Home,11812
1982-01-30,54,Commodores,Oh No,11696
1982-01-30,55,Bill Champlin,Tonight Tonight,11801
1982-01-30,56,KISS,A World Without Heroes,11788
1982-01-30,57,Teddy Pendergrass,"You're My Latest, My Greatest Inspiration",11806
1982-01-30,58,Peabo Bryson,Let The Feeling Flow,11805
1982-01-30,59,Rod Stewart,Tonight I'm Yours (Don't Hurt Me),11819
1982-01-30,60,The Oak Ridge Boys,Bobbie Sue,11815
1982-01-30,61,Skyy,Call Me,11817
